"year_of_interest","perc_price_diff","perc_payroll_diff","total_diff"
2009,-6.414005227557517,3.072269797148,9.486275024705517
2018,2.165296046840015,7.697321259585,5.532025212744985
2016,-1.1909172103735655,3.637878262443,4.828795472816566
2015,-0.5511911636791211,2.596756580119,3.147947743798121
2014,0.737494508973846,2.573944692083,1.8364501831091538
2008,6.187122060858163,7.694155613007,1.5070335521488367
2007,6.761548207418411,6.877854271581,0.11630606416258882
2010,1.9444418784003714,1.912964466097,-0.03147741230337142
2011,3.349725585225194,2.334058152470,-1.015667432755194
2017,9.627504671224173,6.167551092417,-3.4599535788071734
2012,6.730809491510259,2.931143722342,-3.799665769168259
2013,5.0982979139493345,-1.555903980513,-6.654201894462334
2006,,,
